Text,Questions,Answers
"ටිබෙට් හා චීනයේ මින්ග් රාජවංශය (1368-1644) අතර සබඳතා පිළිබඳ නිශ්චිත ස්වභාවය ද යන්න පැහැදිලි නැත. සම්බන්ධය විශ්ලේෂණය තවදුරටත් නූතන දේශපාලන ගැටුම් සහ සංකල්පය පවතී නැත සිටිය කාලය Westphalian පරමාධිපත්යය අයදුම්පත් සංකීර්ණ බවට පත් වී තිබේ. සමහර චීන ආහාරත් විද්වතුන්, එවැනි වැන්ග් Jiawei හා Nyima Gyaincain, රාජවංශය ටිබෙට් නායකයින් විවිධ මාතෘකා පිළිබඳ මිං උසාවියේ නිකුත් අවධානය යොමු කරමින්, ටිබෙට් පුරා ප්රශ්න නොකරන ස්වෛරීත්වය බව අණසක පැතිරීමට, මෙම නාම ටිබෙට් ජාතිකයන් 'සම්පූර්ණ පිළිගැනීම, සහ සඳහා අලුත් ක්රියාවලියක් ලෙස මෙම මිං අගනුවර ගමන් කළ යුතු බව මෙම නාම අනුප්රාප්තිකයන්. චීනය තුල උගතුන් ද ටිබෙට් 13 වන සියවසේ සිට චීනය අවියෝජනීය කොටසක් වී සහ එය මෙසේ මිං අධිරාජ්යයේ කොටසක් වූ බව ඇති බව ඔවුහු තර්ක කරති. නමුත් එවැනි Turrell වී Wylie, මෙල්වින් සී ගෝල්ඩ්ස්ටයින්, සහ හෙල්මුට් හොෆ්මන් ලෙස චීනය පිටත බොහෝ විද්වතුන්, එම සබඳතාව මිං පාලනය පිටත ටිබෙට් ස්වාධීන කලාපයේ සිටි බව, මින්ග් මාතෘකා පමණක් නාමික බව, suzerainty එක් වූ අතර, එම කියන්න එය හුදෙක් ටිබෙට් සමග සබඳතා නතර කරන Jiajing අධිරාජයා (1521-1566), තුරු කප්පම් ගෙවුවේය.",[ 'වැන්ග් Jiawei හා Nyima Gyaincain? කවුද'],[ 'චීන මහා භූමි ප්රදේශයේ චීන විද්වතුන්']
"මෙම අයි-පොඩ් අතේ ගෙන යා හැකි මාධ්ය ක්රීඩකයන් හා පළමු මාර්ගය iTunes (Macintosh අනුවාදය) නිකුත් කරන ලදී මාස 8½ පමණ පසු 2001 ඔක්තෝබර් මස 23 වන දින නිකුත් කරන ලදී ඇපල් ඉන්කෝපරේෂන් විසින් නිර්මාණය කර ඇති සහ අලෙවි බහුකාර්ය සාක්කුවේ පරිගණක රේඛාවක් වේ. අන්ත සංයුක්ත අයි-පොඩ් කලවම්, සංයුක්ත අයි-පොඩ් නැනෝ සහ ටච්-ස්ක්රීන් ජංගම දුරකථන අයි-පොඩ් ටච්: වඩාත් ම මෑත අයි-පොඩ් redesigns වන අයි-පොඩ් වත්මන් සංස්කරණ තුනක් ඇත 2015 ජූලි 15 වැනිදා ප්රකාශයට පත් කරන ලදී.","[ 'මේ අයි-පොඩ් නිෂ්පාදනය කුමන සමාගම?', 'මුල් අයි-පොඩ් නිදහස් කරන ලදී?', 'අයි-පොඩ් කොහොමද විවිධ ආකාර දැනට ලබා ගත හැකිය?', 'මොන වගේ උපාංගයේ අයි-පොඩ් ද?', 'මෙම අයි-පොඩ් ටච් දේ භාවිතා වර්ගයේ අයි-පොඩ් නිෂ්පාදනය කරන්නන් කුමක්ද සමාගම පළමු අයි-පොඩ් නිකුත් කරන ලදී දේ වසරේ දී අතුරු මුහුණත? ','? ','? ',' කොහොමද බොහෝ අයි-පොඩ් වන සංස්කරණය දැනට පවතින? ',' ද අයි-පොඩ් කුඩාම අනුවාදය වේ ද? '' 'කුමක් වසරේ දී අයි-පොඩ් ඉතා මෑතක අවෂ්යතාවන්ට?']","[ 'ඇපල්', 'ඔක්තෝබර් 23, 2001', 'තුනක්', 'එහා මෙහා ගෙන යා හැකි මාධ්ය ක්රීඩකයන්', 'ටච්-ස්ක්රීන් ජංගම දුරකථන', '2001', 'ඇපල්', '3', 'සියලු', '2015']"
"බියොන්සේ Giselle නෝව්ල්ස්-කාටර් (/ biːjɒnseɪ / මී මැසි-YON-මතය) (සැප්තැම්බර් 4, 1981 උපත ලද) ඇමරිකානු ගායක සිංහල ගායකයකි, ගීත, වාර්තා, නිෂ්පාදකයා හා නිළියකි. හුස්ටන්, ටෙක්සාස් උපත හා මතු ඇය දරුවා ලෙස විවිධ ගායන සහ නර්තන තරග සිදු, සහ, R & B දැරිය-කණ්ඩායමක්, ඉරණම විසින් ළමා ප්රධාන ගායකයා ලෙස 1990 අග භාගයේ දී, කීර්තිය දක්වා වර්ධනය වී තිබේ. ඇගේ පියා, මැතිව් නෝව්ල්ස් විසින් කළමනාකරණය, මෙම කණ්ඩායම සියලු කාලය ලෝකයේ වැඩියෙන්ම අලෙවි වන දැරිය කණ්ඩායම් බවට පත් විය. ඔවුන්ගේ හිඩැසක් ග්රැමී සම්මාන පහක් උපයා ඒකල චිත්ර ශිල්පියා ලොව පුරා ඇය පිහිටුවා බියොන්සේ ගේ මංගල ඇල්බමය, ප්රේමය අනතුරුදායක ලෙස (2003), නිදහස, දැක ඩ් හොට් 100 අංකය-එක් කේවල ""ප්රේමය පිස්සු"" සහ ""දරුවා"" විශේෂාංග .","[ 'විට Beyonce ජනප්රිය වෙමින් ආරම්භ කළේ?', 'ඇය හැදී වැඩෙන විට දී Beyonce ඔලිම්පික් කළ දේ ප්රදේශ?', 'විට Beyonce, ඉරණම ළමා අත්හැර ඒකල ගායකයෙකු බවට පත් වූයේ කෙසේද? "",' Beyonce පංගුව කළ දේ නගරයක් සහ ජනපදයක් දී දක්වා? ',' වන දශකය තුල Beyonce ප්රසිද්ධ ඇය ලොව පුරා ප්රසිද්ධ චිත්ර ශිල්පියා කළ කුමක්ද ඇල්බමය ', ""මේ ඉරණම ළමා සමූහය කළමනාකරණය කවුද?"",' බවට පත් වූයේ කෙසේද? ',' R & B කණ්ඩායමේ ඇය ප්රධාන ගායකයා වූ මොනවාද? ','? විට ප්රේමය බියොන්සේ නිදහස් අනතුරුදායක ලෙස කළ විට කීර්තියක් බියොන්සේ නැගීම? ',' කාර්යභාරය කුමක්ද බියොන්සේ ඉරණම ළමා ඇති කළේ ඇයි? ',' බියොන්සේ ඒකල චිත්ර ශිල්පියා ලෙස නිකුත් කරන ලද ප්රථම ඇල්බමය වූ කුමක්ද? ',' නේද? ',' කීයක් ග්රැමී සම්මාන බියොන්සේ තම පළමු ඒකල ඇල්බමය සඳහා වුණේ නැහැ නේද? ',' ඉරණම ළමා දී බියොන්සේ ගේ භූමිකාව කුමක්ද? "","" බියොන්සේ ගේ පළමු ඒකල ඇල්බමය නම කුමක්ද? ""]","[ '1990 අග භාගයේ දී', 'ගායන සහ නර්තන', '2003', 'හුස්ටන්, ටෙක්සාස්', '1990 අග භාගයේ', ""ඉරණම ළමා"", 'ප්රේමය අනතුරුදායක ලෙස', 'මැතිව් නෝව්ල්ස්', '1990 අග භාගයේ', 'ප්රධාන ගායකයා', 'ප්රේමය අනතුරුදායක ලෙස', '2003', 'පස්', 'ප්රධාන ගායකයා', 'ප්රේමය අනතුරුදායක ලෙස']"
"ෆෙඩ්රික් ෆ්රන්සුවා චොපින් යනු (/ ʃoʊpæn /; ප්රංශ උච්චාරණය: [fʁe.de.ʁik fʁɑ.swa ʃɔ.pɛ]; 22 පෙබරවාරි හෝ 1 මාර්තු 1810 - 17 ඔක්තෝබර් 1849), උපත Fryderyk Franciszek චොපින් යනු, [n 1] පෝලන්ත ජාතිකයෙකු විය හා ප්රංශ (පුරවැසිභාවය හා පියාගේ උප්පැන්න විසින්) නිර්මාපකයෙකු හා ඒකල piano සඳහා මූලික වශයෙන් ලියූ ප්රේමාන්විත යුගය, ක virtuoso අය බවය. ඔහු ලබා කාගේ ඔහුගේ යුගයේ ප්රමුඛ සංගීතවේදියෙකි ලෙස පිළිගැනීමකට ලොව පුරා පවත්වාගෙන ගොස් ඇත ""කාව්යමය ප්රතිභාව ඔහුගේ පරම්පරාව සමාන තොරව බව වෘත්තීය තාක්ෂණය මත පදනම් විය."" චොපින් යනු එවකට වෝර්සෝ වන Duchy දේ උපත, සහ වෝර්සෝ හැදී වැඩුණු, 1815 පසු කොංග්රස් පෝලන්තය කොටසක් බවට පත් වූ. දරුවා බරපතල ප්රශ්නයකි, ඔහු තම සංගීත අධ්යාපනය සම්පූර්ණ කර තිබීම හා වයස අවුරුදු 20 දී පෝලන්තය පිටත් වීමට පෙර, අඩු නොවැම්බර් 1830 නැගිටීම පිපිරීමට පෙර මසකට වඩා වෝර්සෝ ඔහුගේ කලින් කෘති රචනා.","[ෆෙඩ්රික් පිටත්ව ගියා දේ වයස අවුරුදු ""මොන ෆෙඩ්රික් ගේ ජාතීන් ද?"" 'ෆෙඩ්රික් ක්රියාකාරී විය දේ යුගයේ?', 'කුමක් මෙවලමක් සඳහා මූලිකව ෆෙඩ්රික් ලිවීම් කළේ?', 'දී ෆෙඩ්රික් උපත දේ ප්රදේශයේ දී?', ' පෝලන්ත? ',' කුමක්ද වසරේ චොපින් යනු උපත ලැබූ? ',' තුළ චොපින් යනු ක්රියාකාරී කුමක්ද යුගය? ',' කෝ චොපින් යනු වර්ධනය වුණේ ඇයි? ',' ඔහු බොහෝ දුරට සඳහා රචනා කළේ කුමක්ද මෙවලමක්? ',' චොපින් යනු කළ දේ වයස අවුරුදු පෝලන්තය අත්හැර? ',' චොපින් යනු මිය ගියේ කවදාද? '', ""චොපින් යනු සංෙයෝග, බහුතරයක් දේ මෙවලමක් සඳහා ද?"", ""චොපින් යනු සම්පූර්ණ නම මොකක්ද?"", 'විය චොපින් යනු කුමක් යුගයේ ක්රියාකාරී විය?', 'කුමක් වසරේ දී චොපින් යනු ඔහු පෝලන්තය ඉවත් වන විට චොපින් යනු උපත? ',' චොපින් යනු උපත හා මතු කළ කුමන නගරයේ දී ද? ',' වයස කීයද? ',' සංගීත දේ යුගයේ චොපින් යනු රචනා කළේ ඇයි? ',' චොපින් යනු මිය ගියේ කුමක්ද වසරේ? ']","[ 'පෝලන්ත හා ප්රංශ', 'ප්රේමාන්විත යුගය', 'ඒකල Piano', 'වෝර්සෝ ක Duchy', '20', '1810', 'ප්රේමාන්විත යුගය', 'වෝර්සෝ', 'ඒකල Piano', '20', ' ඔක්තෝබර් 17 1849 ',' Fryderyk Franciszek චොපින් යනු ',' ඒකල piano ',' ප්රේමාන්විත යුගය ',' 1810 ',' වෝර්සෝ ',' 20 ',' ප්රේමාන්විත ',' 1849 ']"
"ටිබෙට් හා චීනයේ මින්ග් රාජවංශය (1368-1644) අතර සබඳතා පිළිබඳ නිශ්චිත ස්වභාවය ද යන්න පැහැදිලි නැත. සම්බන්ධය විශ්ලේෂණය තවදුරටත් නූතන දේශපාලන ගැටුම් සහ සංකල්පය පවතී නැත සිටිය කාලය Westphalian පරමාධිපත්යය අයදුම්පත් සංකීර්ණ බවට පත් වී තිබේ. සමහර චීන ආහාරත් විද්වතුන්, එවැනි වැන්ග් Jiawei හා Nyima Gyaincain, රාජවංශය ටිබෙට් නායකයින් විවිධ මාතෘකා පිළිබඳ මිං උසාවියේ නිකුත් අවධානය යොමු කරමින්, ටිබෙට් පුරා ප්රශ්න නොකරන ස්වෛරීත්වය බව අණසක පැතිරීමට, මෙම නාම ටිබෙට් ජාතිකයන් 'සම්පූර්ණ පිළිගැනීම, සහ සඳහා අලුත් ක්රියාවලියක් ලෙස මෙම මිං අගනුවර ගමන් කළ යුතු බව මෙම නාම අනුප්රාප්තිකයන්. චීනය තුල උගතුන් ද ටිබෙට් 13 වන සියවසේ සිට චීනය අවියෝජනීය කොටසක් වී සහ එය මෙසේ මිං අධිරාජ්යයේ කොටසක් වූ බව ඇති බව ඔවුහු තර්ක කරති. නමුත් එවැනි Turrell වී Wylie, මෙල්වින් සී ගෝල්ඩ්ස්ටයින්, සහ හෙල්මුට් හොෆ්මන් ලෙස චීනය පිටත බොහෝ විද්වතුන්, එම සබඳතාව මිං පාලනය පිටත ටිබෙට් ස්වාධීන කලාපයේ සිටි බව, මින්ග් මාතෘකා පමණක් නාමික බව, suzerainty එක් වූ අතර, එම කියන්න එය හුදෙක් ටිබෙට් සමග සබඳතා නතර කරන Jiajing අධිරාජයා (1521-1566), තුරු කප්පම් ගෙවුවේය.",[ 'වැන්ග් Jiawei හා Nyima Gyaincain? කවුද'],[ 'චීන මහා භූමි ප්රදේශයේ චීන විද්වතුන්']
"මෙම අයි-පොඩ් අතේ ගෙන යා හැකි මාධ්ය ක්රීඩකයන් හා පළමු මාර්ගය iTunes (Macintosh අනුවාදය) නිකුත් කරන ලදී මාස 8½ පමණ පසු 2001 ඔක්තෝබර් මස 23 වන දින නිකුත් කරන ලදී ඇපල් ඉන්කෝපරේෂන් විසින් නිර්මාණය කර ඇති සහ අලෙවි බහුකාර්ය සාක්කුවේ පරිගණක රේඛාවක් වේ. අන්ත සංයුක්ත අයි-පොඩ් කලවම්, සංයුක්ත අයි-පොඩ් නැනෝ සහ ටච්-ස්ක්රීන් ජංගම දුරකථන අයි-පොඩ් ටච්: වඩාත් ම මෑත අයි-පොඩ් redesigns වන අයි-පොඩ් වත්මන් සංස්කරණ තුනක් ඇත 2015 ජූලි 15 වැනිදා ප්රකාශයට පත් කරන ලදී.","[ 'මේ අයි-පොඩ් නිෂ්පාදනය කුමන සමාගම?', 'මුල් අයි-පොඩ් නිදහස් කරන ලදී?', 'අයි-පොඩ් කොහොමද විවිධ ආකාර දැනට ලබා ගත හැකිය?', 'මොන වගේ උපාංගයේ අයි-පොඩ් ද?', 'මෙම අයි-පොඩ් ටච් දේ භාවිතා වර්ගයේ අයි-පොඩ් නිෂ්පාදනය කරන්නන් කුමක්ද සමාගම පළමු අයි-පොඩ් නිකුත් කරන ලදී දේ වසරේ දී අතුරු මුහුණත? ','? ','? ',' කොහොමද බොහෝ අයි-පොඩ් වන සංස්කරණය දැනට පවතින? ',' ද අයි-පොඩ් කුඩාම අනුවාදය වේ ද? '' 'කුමක් වසරේ දී අයි-පොඩ් ඉතා මෑතක අවෂ්යතාවන්ට?']","[ 'ඇපල්', 'ඔක්තෝබර් 23, 2001', 'තුනක්', 'එහා මෙහා ගෙන යා හැකි මාධ්ය ක්රීඩකයන්', 'ටච්-ස්ක්රීන් ජංගම දුරකථන', '2001', 'ඇපල්', '3', 'සියලු', '2015']"
"බියොන්සේ Giselle නෝව්ල්ස්-කාටර් (/ biːjɒnseɪ / මී මැසි-YON-මතය) (සැප්තැම්බර් 4, 1981 උපත ලද) ඇමරිකානු ගායක සිංහල ගායකයකි, ගීත, වාර්තා, නිෂ්පාදකයා හා නිළියකි. හුස්ටන්, ටෙක්සාස් උපත හා මතු ඇය දරුවා ලෙස විවිධ ගායන සහ නර්තන තරග සිදු, සහ, R & B දැරිය-කණ්ඩායමක්, ඉරණම විසින් ළමා ප්රධාන ගායකයා ලෙස 1990 අග භාගයේ දී, කීර්තිය දක්වා වර්ධනය වී තිබේ. ඇගේ පියා, මැතිව් නෝව්ල්ස් විසින් කළමනාකරණය, මෙම කණ්ඩායම සියලු කාලය ලෝකයේ වැඩියෙන්ම අලෙවි වන දැරිය කණ්ඩායම් බවට පත් විය. ඔවුන්ගේ හිඩැසක් ග්රැමී සම්මාන පහක් උපයා ඒකල චිත්ර ශිල්පියා ලොව පුරා ඇය පිහිටුවා බියොන්සේ ගේ මංගල ඇල්බමය, ප්රේමය අනතුරුදායක ලෙස (2003), නිදහස, දැක ඩ් හොට් 100 අංකය-එක් කේවල ""ප්රේමය පිස්සු"" සහ ""දරුවා"" විශේෂාංග .","[ 'විට Beyonce ජනප්රිය වෙමින් ආරම්භ කළේ?', 'ඇය හැදී වැඩෙන විට දී Beyonce ඔලිම්පික් කළ දේ ප්රදේශ?', 'විට Beyonce, ඉරණම ළමා අත්හැර ඒකල ගායකයෙකු බවට පත් වූයේ කෙසේද? "",' Beyonce පංගුව කළ දේ නගරයක් සහ ජනපදයක් දී දක්වා? ',' වන දශකය තුල Beyonce ප්රසිද්ධ ඇය ලොව පුරා ප්රසිද්ධ චිත්ර ශිල්පියා කළ කුමක්ද ඇල්බමය ', ""මේ ඉරණම ළමා සමූහය කළමනාකරණය කවුද?"",' බවට පත් වූයේ කෙසේද? ',' R & B කණ්ඩායමේ ඇය ප්රධාන ගායකයා වූ මොනවාද? ','? විට ප්රේමය බියොන්සේ නිදහස් අනතුරුදායක ලෙස කළ විට කීර්තියක් බියොන්සේ නැගීම? ',' කාර්යභාරය කුමක්ද බියොන්සේ ඉරණම ළමා ඇති කළේ ඇයි? ',' බියොන්සේ ඒකල චිත්ර ශිල්පියා ලෙස නිකුත් කරන ලද ප්රථම ඇල්බමය වූ කුමක්ද? ',' නේද? ',' කීයක් ග්රැමී සම්මාන බියොන්සේ තම පළමු ඒකල ඇල්බමය සඳහා වුණේ නැහැ නේද? ',' ඉරණම ළමා දී බියොන්සේ ගේ භූමිකාව කුමක්ද? "","" බියොන්සේ ගේ පළමු ඒකල ඇල්බමය නම කුමක්ද? ""]","[[{ 'පෙළ' '1990 අග භාගයේ දී', 'answer_start': 269}], [{ 'පෙළ' 'ගායන සහ නර්තන', 'answer_start': 207}], [{ 'පෙළ' '2003 ',' answer_start ': 526}], [{' පෙළ '' හුස්ටන්, ටෙක්සාස් ',' answer_start ': 166}], [{' පෙළ '' 1990 අග භාගයේ ',' answer_start ': 276}], [ { 'පෙළ': "", ඉරණම ළමා"", 'answer_start': 320}], [{ 'පෙළ' 'ප්රේමය අනතුරුදායක ලෙස', 'answer_start': 505}], [{ 'පෙළ' 'මැතිව් නෝව්ල්ස්', ' answer_start ': 360}], [{' පෙළ '' 1990 අග භාගයේ ',' answer_start ': 276}], [{' පෙළ '' ප්රධාන ගායකයා ',' answer_start ': 290}], [{' පෙළ ' : '' ප්රේමය අනතුරුදායක ලෙස ',' answer_start ': 505}], [{' පෙළ '' 2003 ',' answer_start ': 526}], [{' පෙළ '' පස් ',' answer_start ': 590}] , [{ 'පෙළ' 'ප්රධාන ගායකයා', 'answer_start': 290}], [{ 'පෙළ' 'ප්රේමය අනතුරුදායක ලෙස', 'answer_start': 505}]]"
"ෆෙඩ්රික් ෆ්රන්සුවා චොපින් යනු (/ ʃoʊpæn /; ප්රංශ උච්චාරණය: [fʁe.de.ʁik fʁɑ.swa ʃɔ.pɛ]; 22 පෙබරවාරි හෝ 1 මාර්තු 1810 - 17 ඔක්තෝබර් 1849), උපත Fryderyk Franciszek චොපින් යනු, [n 1] පෝලන්ත ජාතිකයෙකු විය හා ප්රංශ (පුරවැසිභාවය හා පියාගේ උප්පැන්න විසින්) නිර්මාපකයෙකු හා ඒකල piano සඳහා මූලික වශයෙන් ලියූ ප්රේමාන්විත යුගය, ක virtuoso අය බවය. ඔහු ලබා කාගේ ඔහුගේ යුගයේ ප්රමුඛ සංගීතවේදියෙකි ලෙස පිළිගැනීමකට ලොව පුරා පවත්වාගෙන ගොස් ඇත ""කාව්යමය ප්රතිභාව ඔහුගේ පරම්පරාව සමාන තොරව බව වෘත්තීය තාක්ෂණය මත පදනම් විය."" චොපින් යනු එවකට වෝර්සෝ වන Duchy දේ උපත, සහ වෝර්සෝ හැදී වැඩුණු, 1815 පසු කොංග්රස් පෝලන්තය කොටසක් බවට පත් වූ. දරුවා බරපතල ප්රශ්නයකි, ඔහු තම සංගීත අධ්යාපනය සම්පූර්ණ කර තිබීම හා වයස අවුරුදු 20 දී පෝලන්තය පිටත් වීමට පෙර, අඩු නොවැම්බර් 1830 නැගිටීම පිපිරීමට පෙර මසකට වඩා වෝර්සෝ ඔහුගේ කලින් කෘති රචනා.","[ෆෙඩ්රික් පිටත්ව ගියා දේ වයස අවුරුදු ""මොන ෆෙඩ්රික් ගේ ජාතීන් ද?"" 'ෆෙඩ්රික් ක්රියාකාරී විය දේ යුගයේ?', 'කුමක් මෙවලමක් සඳහා මූලිකව ෆෙඩ්රික් ලිවීම් කළේ?', 'දී ෆෙඩ්රික් උපත දේ ප්රදේශයේ දී?', ' පෝලන්ත? ',' කුමක්ද වසරේ චොපින් යනු උපත ලැබූ? ',' තුළ චොපින් යනු ක්රියාකාරී කුමක්ද යුගය? ',' කෝ චොපින් යනු වර්ධනය වුණේ ඇයි? ',' ඔහු බොහෝ දුරට සඳහා රචනා කළේ කුමක්ද මෙවලමක්? ',' චොපින් යනු කළ දේ වයස අවුරුදු පෝලන්තය අත්හැර? ',' චොපින් යනු මිය ගියේ කවදාද? '', ""චොපින් යනු සංෙයෝග, බහුතරයක් දේ මෙවලමක් සඳහා ද?"", ""චොපින් යනු සම්පූර්ණ නම මොකක්ද?"", 'විය චොපින් යනු කුමක් යුගයේ ක්රියාකාරී විය?', 'කුමක් වසරේ දී චොපින් යනු ඔහු පෝලන්තය ඉවත් වන විට චොපින් යනු උපත? ',' චොපින් යනු උපත හා මතු කළ කුමන නගරයේ දී ද? ',' වයස කීයද? ',' සංගීත දේ යුගයේ චොපින් යනු රචනා කළේ ඇයි? ',' චොපින් යනු මිය ගියේ කුමක්ද වසරේ? ']","[[{ 'පෙළ' 'පෝලන්ත හා ප්රංශ', 'answer_start': 182}], [{ 'පෙළ' 'ප්රේමාන්විත යුගය', 'answer_start': 276}], [{ 'පෙළ' 'ඒකල Piano' 'answer_start': 318}], [{ 'පෙළ' 'වෝර්සෝ ක Duchy', 'answer_start': 559}], [{ 'පෙළ' '20', 'answer_start': 777}], [{ ' පෙළ '' 1810 ',' answer_start ': 113}], [{' පෙළ '' ප්රේමාන්විත යුගය ',' answer_start ': 276}], [{' පෙළ '' වෝර්සෝ ',' answer_start ': 568} ], [{ 'පෙළ' 'ඒකල piano', 'answer_start': 318}], [{ 'පෙළ' '20', 'answer_start': 777}], [{ 'පෙළ': '17 ඔක්තෝබර් 1849 ' 'answer_start': 120}], [{ 'පෙළ' 'Fryderyk Franciszek චොපින් යනු', 'answer_start': 143}], [{ 'පෙළ' 'ඒකල piano', 'answer_start': 318}], [{ 'පෙළ' 'ප්රේමාන්විත යුගය', 'answer_start': 276}], [{ 'පෙළ' '1810', 'answer_start': 113}], [{ 'පෙළ' 'වෝර්සෝ', 'answer_start': 568 }], [{ 'පෙළ' '20', 'answer_start': 777}], [{ 'පෙළ' 'ප්රේමාන්විත', 'answer_start': 276}], [{ 'පෙළ' '1849', ' answer_start ': 131}]]"
"ටිබෙට් හා චීනයේ මින්ග් රාජවංශය (1368-1644) අතර සබඳතා පිළිබඳ නිශ්චිත ස්වභාවය ද යන්න පැහැදිලි නැත. සම්බන්ධය විශ්ලේෂණය තවදුරටත් නූතන දේශපාලන ගැටුම් සහ සංකල්පය පවතී නැත සිටිය කාලය Westphalian පරමාධිපත්යය අයදුම්පත් සංකීර්ණ බවට පත් වී තිබේ. සමහර චීන ආහාරත් විද්වතුන්, එවැනි වැන්ග් Jiawei හා Nyima Gyaincain, රාජවංශය ටිබෙට් නායකයින් විවිධ මාතෘකා පිළිබඳ මිං උසාවියේ නිකුත් අවධානය යොමු කරමින්, ටිබෙට් පුරා ප්රශ්න නොකරන ස්වෛරීත්වය බව අණසක පැතිරීමට, මෙම නාම ටිබෙට් ජාතිකයන් 'සම්පූර්ණ පිළිගැනීම, සහ සඳහා අලුත් ක්රියාවලියක් ලෙස මෙම මිං අගනුවර ගමන් කළ යුතු බව මෙම නාම අනුප්රාප්තිකයන්. චීනය තුල උගතුන් ද ටිබෙට් 13 වන සියවසේ සිට චීනය අවියෝජනීය කොටසක් වී සහ එය මෙසේ මිං අධිරාජ්යයේ කොටසක් වූ බව ඇති බව ඔවුහු තර්ක කරති. නමුත් එවැනි Turrell වී Wylie, මෙල්වින් සී ගෝල්ඩ්ස්ටයින්, සහ හෙල්මුට් හොෆ්මන් ලෙස චීනය පිටත බොහෝ විද්වතුන්, එම සබඳතාව මිං පාලනය පිටත ටිබෙට් ස්වාධීන කලාපයේ සිටි බව, මින්ග් මාතෘකා පමණක් නාමික බව, suzerainty එක් වූ අතර, එම කියන්න එය හුදෙක් ටිබෙට් සමග සබඳතා නතර කරන Jiajing අධිරාජයා (1521-1566), තුරු කප්පම් ගෙවුවේය.",[ 'වැන්ග් Jiawei හා Nyima Gyaincain? කවුද'],"[[{ 'පෙළ' 'චීන මහා භූමි ප්රදේශයේ චීන විද්වතුන්', 'answer_start': 274}]]"
"මෙම අයි-පොඩ් අතේ ගෙන යා හැකි මාධ්ය ක්රීඩකයන් හා පළමු මාර්ගය iTunes (Macintosh අනුවාදය) නිකුත් කරන ලදී මාස 8½ පමණ පසු 2001 ඔක්තෝබර් මස 23 වන දින නිකුත් කරන ලදී ඇපල් ඉන්කෝපරේෂන් විසින් නිර්මාණය කර ඇති සහ අලෙවි බහුකාර්ය සාක්කුවේ පරිගණක රේඛාවක් වේ. අන්ත සංයුක්ත අයි-පොඩ් කලවම්, සංයුක්ත අයි-පොඩ් නැනෝ සහ ටච්-ස්ක්රීන් ජංගම දුරකථන අයි-පොඩ් ටච්: වඩාත් ම මෑත අයි-පොඩ් redesigns වන අයි-පොඩ් වත්මන් සංස්කරණ තුනක් ඇත 2015 ජූලි 15 වැනිදා ප්රකාශයට පත් කරන ලදී.","[ 'මේ අයි-පොඩ් නිෂ්පාදනය කුමන සමාගම?', 'මුල් අයි-පොඩ් නිදහස් කරන ලදී?', 'අයි-පොඩ් කොහොමද විවිධ ආකාර දැනට ලබා ගත හැකිය?', 'මොන වගේ උපාංගයේ අයි-පොඩ් ද?', 'මෙම අයි-පොඩ් ටච් දේ භාවිතා වර්ගයේ අයි-පොඩ් නිෂ්පාදනය කරන්නන් කුමක්ද සමාගම පළමු අයි-පොඩ් නිකුත් කරන ලදී දේ වසරේ දී අතුරු මුහුණත? ','? ','? ',' කොහොමද බොහෝ අයි-පොඩ් වන සංස්කරණය දැනට පවතින? ',' ද අයි-පොඩ් කුඩාම අනුවාදය වේ ද? '' 'කුමක් වසරේ දී අයි-පොඩ් ඉතා මෑතක අවෂ්යතාවන්ට?']","[[{ 'පෙළ' 'ඇපල්', 'answer_start': 105}], [{ 'පෙළ' 'ඔක්තෝබර් 23, 2001', 'answer_start': 147}], [{ 'පෙළ' '' තුනෙන්, 'answer_start': 302}], [{ 'පෙළ' 'එහා මෙහා ගෙන යා හැකි මාධ්ය ක්රීඩකයන්', 'answer_start': 22}], [{ 'පෙළ' 'ටච්-ස්ක්රීන් ජංගම දුරකථන', 'answer_start': 400}], [{ 'පෙළ '' 2001 ',' answer_start ': 159}], [{' පෙළ '' ඇපල් ',' answer_start ': 105}], [{' පෙළ '' 3 ',' answer_start ': 156}], [{ 'පෙළ': 'සියලු', 'answer_start': 361}], [{ 'පෙළ' '2015', 'answer_start': 286}]]"
